1D Energy Spectrum Comte-Bellot Corrsin 1971 E_11 (2in grid)
k1      42      98      171
0.15,   0.0,    0.0,    49.7
0.20,   129.0,  106.0,  92.0
0.25,   230.0,  196.0,  120.0
0.30,   322.0,  195.0,  125.0
0.40,   435.0,  202.0,  98.0
0.50,   457.0,  168.0,  81.5
0.70,   380.0,  127.0,  60.2
1.00,   270.0,  79.2,   39.4
1.50,   168.0,  47.8,   24.1
2.00,   120.0,  34.6,   16.5
2.50,   89.0,   28.6,   12.5
3.00,   70.3,   23.1,   9.12
4.00,   47.0,   14.3,   5.62
6.00,   24.7,   5.95,   1.69
8.00,   12.6,   2.23,   0.520
10.00,  7.42,   0.900,  0.161
12.50,  3.96,   0.363,  0.0520
15.00,  2.33,   0.162,  0.0141
17.50,  1.34,   0.0660, 0.0
20.00,  0.800,  0.0330, 0.0
